Id,WnvPresent
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,0
389,0
390,1
391,1
392,1
393,1
394,0
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,0
414,1
415,1
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,1
424,1
425,1
426,0
427,1
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,1
465,1
466,0
467,1
468,0
469,0
470,1
471,1
472,1
473,1
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,1
490,0
491,1
492,0
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,0
539,1
540,0
541,0
542,1
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,1
559,1
560,1
561,1
562,0
563,1
564,0
565,0
566,1
567,1
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,1
578,0
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,1
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,1
610,0
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,0
627,1
628,0
629,0
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,1
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,1
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,1
665,1
666,0
667,1
668,0
669,0
670,1
671,1
672,1
673,1
674,0
675,1
676,0
677,0
678,1
679,1
680,1
681,1
682,0
683,1
684,0
685,0
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,0
701,0
702,1
703,1
704,1
705,1
706,0
707,1
708,0
709,0
710,1
711,1
712,1
713,1
714,0
715,1
716,0
717,0
718,1
719,1
720,1
721,1
722,0
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,0
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,1
744,1
745,1
746,0
747,0
748,0
749,0
750,1
751,1
752,1
753,1
754,0
755,0
756,0
757,0
758,1
759,1
760,1
761,1
762,0
763,0
764,0
765,0
766,1
767,1
768,1
769,1
770,0
771,0
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,0
790,1
791,1
792,1
793,1
794,0
795,1
796,0
797,0
798,1
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,1
807,1
808,1
809,1
810,0
811,1
812,0
813,0
814,1
815,1
816,1
817,1
818,0
819,1
820,0
821,0
822,1
823,1
824,1
825,1
826,0
827,1
828,0
829,0
830,1
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,1
841,1
842,0
843,0
